source_id,title,authors,year,venue_or_status,primary_url,doi_or_identifier,source_type,accessed_at,access_status,scope_codes,verified_contribution,chronosaudit_overlap,missing_or_unverified_controls,novelty_implication,evidence_grade
PA021,"SoK: Root Cause of $1 Billion Loss in Smart Contract Exploits","Rezaei and collaborators",2025,"arXiv 2507.20175","https://arxiv.org/abs/2507.20175","arXiv:2507.20175","primary preprint",2026-08-01,"full public record","S1;S5","Builds a multi-tier root-cause and exploit-chain characterization of severe real incidents.","Potential evidence basis for exploit-mechanism family rules.","Not a contamination-controlled detector benchmark; no censoring, calibration, or prospective deployment.","Defeats novelty of root-cause or exploit-chain taxonomy alone and supports mechanism-family feasibility.",E2
PA022,"Dos and Don'ts of Machine Learning in Computer Security","Daniel Arp and collaborators",2022,"USENIX Security 2022","https://www.usenix.org/conference/usenixsecurity22/presentation/arp","USENIX Security 2022","primary methodology paper",2026-08-01,"full public record","S3;S6;S7;S9","Systematizes security-ML pitfalls including data and temporal snooping, base-rate errors, inappropriate metrics, and reproducibility concerns.","General methodological foundation for admissibility, realistic base rates, and leakage auditing.","Not smart-contract-specific and does not supply the proposed joint protocol or prospective cohort.","Defeats novelty of the underlying security-ML leakage and base-rate principles.",E2
PA023,"On the Foundations of Noise-free Selective Classification","Ran El-Yaniv; Yair Wiener",2010,"Journal of Machine Learning Research","https://jmlr.csail.mit.edu/papers/v11/el-yaniv10a.html","JMLR 11:1605-1641","primary methods paper",2026-08-01,"full public record","S7","Formalizes selective classification and the risk-coverage trade-off.","Mathematical basis for abstention and precision-coverage analysis.","Not security- or smart-contract-specific; no workload costing or contamination controls.","Defeats novelty of risk-coverage selective prediction.",E2
PA024,"Selective Classification for Deep Neural Networks","Yonatan Geifman; Ran El-Yaniv",2017,"NeurIPS 2017","https://arxiv.org/abs/1705.08500","arXiv:1705.08500","primary methods paper",2026-08-01,"full public record","S7","Develops practical selective-classification methods for deep neural networks at target risk and coverage.","Operational abstention method precedent.","Not a smart-contract benchmark and does not address base-rate workload or admissibility.","Defeats novelty of neural selective classification and abstention curves.",E2
PA025,"Calibrated Selective Classification","Adam Fisch and collaborators",2022,"Transactions on Machine Learning Research","https://mlanthology.org/tmlr/2022/fisch2022tmlr-calibrated/","TMLR 2022","primary methods paper",2026-08-01,"full public record","S7","Studies calibration for selective classification, including distribution-shift considerations.","Calibration and abstention precedent for the proposed selective-prediction layer.","Not smart-contract-specific and does not implement realistic alert budgets or prospective security deployment.","Defeats novelty of calibrated selective prediction as a standalone method.",E2
PA026,"FinSurvival: A Suite of Large Scale Survival Modeling Tasks from Finance","Aaron Green; Zihan Nie; Hanzhen Qin; Oshani Seneviratne; Kristin P. Bennett",2025,"arXiv 2507.14160 / OpenReview","https://arxiv.org/abs/2507.14160","arXiv:2507.14160","primary paper",2026-08-01,"full public record","S3;S6;S9","Constructs sixteen survival-time tasks with censored outcomes from millions of public DeFi lending transaction records using an automated benchmark pipeline.","Direct Web3 precedent for right-censored population modeling, temporal event definitions, and reproducible survival benchmarking.","Targets DeFi user transaction transitions rather than smart-contract exploit discovery; no joint code-lineage contamination controls, executable vulnerability evidence, or prospective security cohort.","Defeats novelty of right-censored Web3 benchmarking as an individual component.",E2
PA027,"Benchmarking Temporal Web3 Intelligence: Lessons from the FinSurvival 2025 Challenge","Oshani Seneviratne; Fernando Spadea; Adrien Pavao; Aaron Micah Green; Kristin P. Bennett",2026,"arXiv 2602.23159 / WWW Companion 2026","https://arxiv.org/abs/2602.23159","arXiv:2602.23159","primary paper",2026-08-01,"full public record","S3;S6;S9","Operationalizes sixteen survival tasks on 21.8 million Aave v3 records and explicitly treats censoring and non-stationarity as temporal Web3 benchmark requirements.","Temporal Web3 benchmark and right-censoring precedent.","Detailed challenge-governance and reproducibility requirements were not independently checked beyond the abstract; this is not an exploit-detection benchmark and does not address code clones, protocol lineage across families, executable evidence, selective analyst workload, or a security shadow deployment.","Further defeats novelty of censoring and temporal Web3 benchmarking while preserving a narrower exploit-specific joint-protocol hypothesis.",E2
PA028,"A machine-learning smart-contract security vulnerability detection method","Jian Weng; Xinkai Chen; Ming Li; Haochen Yuan; Bin Zhang; Hexian Lu",2020,"Chinese patent application CN110737899A; priority and filing 2019","https://patents.google.com/patent/CN110737899A/en","CN110737899A","patent record",2026-08-01,"full public patent record","S4;S9","Describes smart-contract source collection, tool-derived labels, and selection of samples below a code-content repetition threshold, including a disclosed 30% embodiment, before machine-learning detection.","Patent precedent for duplicate-content filtering during smart-contract vulnerability dataset construction.","Romanization should be checked against an authoritative family record before publication; the record does not define train-test clone-family independence, bytecode/proxy/attacker/mechanism splits, censor-aware outcomes, or prospective evaluation.","Narrows novelty language around duplicate filtering but does not defeat the full benchmark protocol.",E2
PA029,"Method and system for prediction of smart contract violation using dynamic state space creation","Sandhya Baskaran; Swarup Kumar Mohalik; Anshu Shukla",2021,"US patent application US20210312472A1","https://patents.google.com/patent/US20210312472A1/en","US20210312472A1","patent record",2026-08-01,"full public patent record","S3;S5;S9","Describes control-flow graphs, blockchain-variable state, dynamic state-space-tree updates, evaluation against predefined violation requirements, and alert generation.","Smart-contract state-transition and state-space violation-prediction precedent.","The checked record does not establish a machine-learning method or a public benchmark protocol; no verified joint independence, right-censoring, survival ladder, workload calibration, or sealed prospective study.","Defeats broad novelty claims for state-space-based smart-contract violation prediction and alerting, but not machine-learning exploit discovery or the ChronosAudit evaluation protocol.",E2
PA030,"An automated machine learning scheme for software exploit prediction","Eric Smyth; Aaron Sant-Miller; Kevin Field",2018,"International patent publication WO2018022321A1; assignee Booz Allen Hamilton Inc.","https://patents.google.com/patent/WO2018022321A1/en","WO2018022321A1","patent record",2026-08-01,"full public patent record","S3;S6;S7","Uses an ensemble and historical vulnerability information to predict the likelihood that known software vulnerabilities will be exploited, with administrator thresholds and periodic retraining.","General-security exploit-likelihood forecasting and evolving operational prediction precedent.","Not smart-contract-specific and does not predict exploit timing or define the proposed admissibility, clone-lineage, censoring, executable-evidence, or prospective benchmark controls.","Narrows novelty language around exploit-likelihood prediction and operational retraining; not a full-protocol predecessor.",E2
PA031,"OWASP Smart Contract Security Verification Standard","OWASP Smart Contract Security project contributors",2026,"OWASP SCSVS public standard; accessed 2026-08-01","https://scs.owasp.org/SCSVS/","OWASP SCSVS","public security standard",2026-08-01,"full public standard surface","S4;S5;S9","Defines auditable smart-contract security control groups and specific verification requirements, including proxy and upgrade-management controls.","Standards precedent for proxy-aware security verification, architecture controls, and reproducible checklists.","Not a detector benchmark and does not define temporal or family-independent splits, right-censored exploit outcomes, capability-survival measurement, or sealed prospective evaluation.","Defeats novelty of proxy-aware verification requirements and standards-based case checklists as standalone ideas.",E2
PA032,"EEA EthTrust Security Levels Specification Version 3","EEA EthTrust Security Levels Working Group",2025,"Enterprise Ethereum Alliance specification version 3, March 2025","https://entethalliance.org/groups/EthTrust/","EEA EthTrust Security Levels v3","public industry specification",2026-08-01,"official specification landing page","S5;S9","Defines baseline Ethereum smart-contract audit requirements and three review-depth levels for certification.","Industry-standard precedent for auditable review depth, security requirements, and practitioner-facing assessment levels.","Not a machine-learning or exploit-detection benchmark and does not define the ChronosAudit contamination, censoring, calibration, or prospective-study protocol.","Defeats novelty of tiered smart-contract security assurance or checklist-based audit depth alone.",E2
PA033,"Exploit Prediction Scoring System (EPSS) model and data","FIRST EPSS Special Interest Group",2026,"FIRST operational model and data documentation; accessed 2026-08-01","https://www.first.org/epss/","FIRST EPSS","official operational specification and data documentation",2026-08-01,"full public official record","S3;S6;S7;S9","Publishes daily 0–1 probabilities that a disclosed CVE will show exploitation activity in the next 30 days, with open data and explicit prioritization use.","Strong general-security precedent for pre-outcome prediction, realistic low base rates, rolling operational scores, and workload prioritization.","CVE-centric rather than smart-contract-specific; the checked landing page does not establish the prior ledger's historical-version claim and the system does not provide code/protocol/mechanism independence, executable exploit evidence, or a sealed cohort.","Defeats broad novelty claims for operational pre-incident exploit-probability prediction and workload prioritization.",E2
PA034,"Uncover the Premeditated Attacks: Detecting Exploitable Reentrancy Vulnerabilities by Identifying Attacker Contracts","Shuo Yang; Jiachi Chen; Mingyuan Huang; Zibin Zheng; Yuan Huang",2024,"ICSE 2024","https://arxiv.org/abs/2403.19112","10.1145/3597503.3639153","primary paper",2026-08-01,"full public record","S1;S4;S5;S9","Builds attacker-contract logic from 281 incidents and evaluates cross-contract static dataflow detection on 421,889 bytecodes, identifying attacker and victim contracts.","Direct precedent for treating attacker contracts and cross-contract call chains as evidence-bearing entities rather than ignoring them.","Mechanism-specific reentrancy detector; no attacker-clone-independent benchmark split, censor-aware population, selective workload, or sealed prospective cohort.","Defeats novelty of attacker-contract-aware smart-contract detection, while leaving attacker-clone family separation as a benchmark-control hypothesis.",E2
PA035,"Evil Under the Sun: Understanding and Discovering Attacks on Ethereum Decentralized Applications","Liya Su; Xinyue Shen; Xiangyu Du; Xiaojing Liao; XiaoFeng Wang; Luyi Xing; Baoxu Liu",2021,"30th USENIX Security Symposium","https://www.usenix.org/system/files/sec21-su.pdf","USENIX Security 2021","primary paper",2026-08-01,"full public PDF","S1;S3;S4;S5;S9","Measures attack lifecycles and campaigns, documents exploit-contract reuse and propagation to similar DApps, and clusters transactions by execution-trace similarity and time to discover attack stages.","Direct precedent for campaign structure, exploit reuse, transaction-trace similarity, and cross-DApp propagation as dependence pathways.","Post-incident discovery rather than pre-incident benchmark splitting; no machine-verifiable admissibility manifests, right-censored population, survival ladder, or sealed prospective evaluation.","Defeats novelty of recognizing attack-campaign dependence, exploit reuse, or trace clustering; strengthens the need to separate attacker and mechanism families in evaluation.",E2
PA036,"Static Application Security Testing (SAST) Tools for Smart Contracts: How Far Are We?","Kaixuan Li; Yue Xue; Sen Chen; Han Liu; Kairan Sun; Ming Hu; Haijun Wang; Yang Liu; Yixiang Chen",2024,"FSE 2024; arXiv:2404.18186","https://arxiv.org/abs/2404.18186","10.1145/3660772","primary paper",2026-08-02,"full public arXiv record","S5;S7;S9","Defines a 45-type taxonomy, constructs a 788-file benchmark containing 10,394 vulnerabilities across 40 types, and evaluates eight SAST tools; reported precision does not exceed 10%.","Direct benchmark precedent for broad mechanism coverage, low precision, false-positive burden, and multi-tool workload trade-offs.","Synthetic or curated vulnerability benchmark rather than a prediction-time admissibility study; no temporal/lineage/clone/mechanism joint split, censor-aware population, or sealed prospective cohort.","Defeats novelty of broad taxonomy-driven SAST benchmarking and false-positive/workload motivation; nonmaterial to the narrow joint-protocol hypothesis.",E2
PA037,"Solidity Defects and Bugs Analysis (SDABA): A novel framework for smart contract vulnerability detection and benchmarking","Abdur Rehman Raza; Muhammad Haseeb; Shahzaib Tahir; Asif Masood; M. Jaleed Khan; et al.",2026,"International Journal of Information Security 25:115","https://link.springer.com/article/10.1007/s10207-026-01287-1","10.1007/s10207-026-01287-1","primary paper",2026-08-02,"full public publisher record","S1;S5;S6;S7;S9","Analyzes reported 2020-2024 exploits, augments the Solidity Defects and Bugs suite with underrepresented vulnerability examples, evaluates three tools and SDABA, and considers fixed versions for false-positive analysis.","Current precedent for exploit-derived taxonomy, enhanced test-suite construction, and negative or fixed-version evaluation.","The reviewed record does not establish prediction-time case admissibility, mature investigated negatives, right-censoring, joint independence control, or prospective follow-up.","Defeats novelty of fixed-version negative evaluation and enhanced exploit-derived test suites; nonmaterial to the narrow joint-protocol hypothesis.",E2
PA038,"ERC-1167: Minimal Proxy Contract","Peter Murray; Nate Welch; Joe Messerman",2018,"Ethereum Improvement Proposal 1167; Final","https://eips.ethereum.org/EIPS/eip-1167","ERC-1167","official technical standard",2026-08-02,"full public official record","S4;S9","Standardizes minimal proxy bytecode that delegates to a fixed implementation and permits tools to identify the implementation from bytecode.","Direct technical precedent for recognizing cloned proxy bytecode and binding proxy instances to a shared implementation family.","Not a security benchmark, contamination-control protocol, lineage ontology, or exploit-evaluation study.","Defeats novelty of minimal-proxy family recognition itself; using proxy implementation families as one joint split axis remains an evaluation hypothesis.",E2
PA039,"SCDBench: A Benchmark for LLM-Based Smart Contract Decompilers","Kaihua Qin; Dawn Song; Arthur Gervais",2026,"arXiv:2605.29059","https://arxiv.org/abs/2605.29059","arXiv:2605.29059","primary preprint",2026-08-02,"full public arXiv record","S1;S2;S9","Provides 600 real-world contracts with bytecode, ground-truth source, replayable semantic checkpoints, and cumulative format, compilation, ABI, and differential-replay grading.","Current precedent for paired source/bytecode benchmark provenance and replay-based semantic grading.","Decompiler evaluation rather than exploit detection; no prediction-time admissibility, joint independence split, censoring, workload policy, or prospective shadow cohort.","Defeats novelty of replayable source/bytecode benchmark checkpoints as a standalone idea; nonmaterial to the narrow joint-protocol hypothesis.",E2
PA040,"SC-Bench: A Large-Scale Dataset for Smart Contract Auditing","Shihao Xia; Mengting He; Linhai Song; Yiying Zhang",2025,"arXiv:2410.06176v2","https://arxiv.org/abs/2410.06176","arXiv:2410.06176","primary preprint",2026-08-02,"full public arXiv record","S1;S5;S9","Provides 5,377 real-world Ethereum contracts and 15,975 ERC-rule violations, including 139 real violations and systematically injected errors, and evaluates GPT-4 with and without oracle information.","Large-scale auditing dataset precedent and evidence that scaffold or oracle information materially changes measured detection.","Auditing-rule benchmark rather than pre-incident exploit-outcome evaluation; no joint leakage control, censor-aware population, calibration/workload policy, or sealed prospective cohort.","Defeats novelty of large-scale real-contract auditing datasets and scaffold-sensitive evaluation; nonmaterial to the narrow joint-protocol hypothesis.",E2
