case_name,incident_name,protocol_candidate,mechanism_raw,mechanism_candidate,mechanism_candidate_confidence,mechanism_candidate_rule,protocol_status,mechanism_status
burgerswap,BurgerSwap,burgerswap,Mathematical flaw + Reentrancy,arithmetic_or_precision_failure,low,multi_rule:arithmetic_or_precision_failure+reentrancy,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
88mph,88mph NFT,88mph,Access control,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
eleven,Eleven Finance,eleven,Doesn’t burn shares,token_semantics_mismatch,medium,rule:token_semantics_mismatch,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
xwin,xWin Finance,xwin,subscription-incentive-mechanism,economic_constraint_failure,medium,rule:economic_constraint_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
cream,Cream Finance,cream,Flashloan Attack + Reentrancy,reentrancy,medium,rule:reentrancy,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
xsurge,XSURGE,xsurge,Flashloan Attack + Reentrancy,reentrancy,medium,rule:reentrancy,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
nowswap,NowSwap Platform,nowswap,Incorrect calculation,arithmetic_or_precision_failure,medium,rule:arithmetic_or_precision_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
nimbus,Nimbus Platform,nimbus,Incorrect calculation,arithmetic_or_precision_failure,medium,rule:arithmetic_or_precision_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
waultfinance,WaultFinace,waultfinance,FlashLoan price manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
sushimiso,SushiSwap Miso,sushimiso,Insufficient validation,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
balancer_20200628,Balancer Protocol,balancer,Token Incompatible,token_semantics_mismatch,medium,rule:token_semantics_mismatch,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
mono,MonoX Finance,mono,Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
ploutoz,Ploutoz,ploutoz,Flash Loan,economic_state_manipulation,low,fallback_flash_loan,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
nervebridge,Nerve Bridge,nervebridge,Swap Metapool Attack,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
indexedfinance,Indexed Finance,indexedfinance,Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
visor,Visor Finance,visor,Reentrancy,reentrancy,medium,rule:reentrancy,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
julswap,JulSwap,julswap,Flash Loan,economic_state_manipulation,low,fallback_flash_loan,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
pancakehunny,PancakeHunny,pancakehunny,Incorrect calculation,arithmetic_or_precision_failure,medium,rule:arithmetic_or_precision_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
valuedefi,Value Defi,valuedefi,Cross Contract Reentrancy,reentrancy,medium,rule:reentrancy,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
tecraspace,TecraSpace,tecraspace,Any token is destroyed,token_semantics_mismatch,medium,rule:token_semantics_mismatch,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
sandbox,Sandbox LAND,sandbox,Access control,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
compoundtusd,CompoundTUSDSweepTokenBypass,compoundtusd,Insufficient validation,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
bearn,bEarn,bearn,Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
anyswap,Multichain (Anyswap),anyswap,Insufficient Token Validation,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
auctus,Auctus,auctus,Arbitrary Call,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
paraluni,Paraluni,paraluni,Flashloan & Reentrancy,reentrancy,medium,rule:reentrancy,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
qubit,Qubit Finance,qubit,Bridge address(0).safeTransferFrom() does not revert,cross_domain_validation_failure,medium,rule:cross_domain_validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
revest,Revest Finance,revest,Reentrancy,reentrancy,medium,rule:reentrancy,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
umbrella,Umbrella Network,umbrella,Underflow,arithmetic_or_precision_failure,medium,rule:arithmetic_or_precision_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
cream_2,CreamFinance,cream,Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
akutarnft,Akutar NFT,akutarnft,Denial of Service,availability_failure,medium,rule:availability_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
rikkei,Rikkei Finance,rikkei,Access control & Price Oracle Manipulation,authorization_failure,low,multi_rule:authorization_failure+oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
gym_1,GYMNetwork,gym,Flashloan + token migrate flaw,token_semantics_mismatch,medium,rule:token_semantics_mismatch,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
cftoken,Creat Future,cftoken,Overflow,arithmetic_or_precision_failure,medium,rule:arithmetic_or_precision_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
rari,Rari Capital/Fei Protocol,rari,Flashloan Attack + Reentrancy,reentrancy,medium,rule:reentrancy,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
wdoge,Wiener DOGE,wdoge,Flashloan,economic_state_manipulation,low,fallback_flash_loan,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
zeed,Zeed Finance,zeed,Incorrect calculation,arithmetic_or_precision_failure,medium,rule:arithmetic_or_precision_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
bayc_apecoin,ApeCoin (APE),bayc_apecoin,Flashloan,economic_state_manipulation,low,fallback_flash_loan,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
saddle,Saddle Finance,saddle,Swap Metapool Attack,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
discover,Discover,discover,Flashloan & Price Oracle Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
hackdao,HackDao,hackdao,Skim token balance,token_semantics_mismatch,medium,rule:token_semantics_mismatch,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
inversefinance,InverseFinance,inversefinance,Flashloan & Price Oracle Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
gym_2,GYMNetwork,gym,Accesscontrol,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
flippazone,FlippazOne NFT,flippazone,Accesscontrol,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
lpc,LPC,lpc,"Business Logic Flaw : Incorrect recipient balance check, did not check sender!=recipient in transfer",validation_failure,low,multi_rule:business_logic_failure+validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
spacegodzilla,SpaceGodzilla,spacegodzilla,Flashloans & Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
snood,SNOOD,snood,Miscalculation on \_spendAllowance,arithmetic_or_precision_failure,medium,rule:arithmetic_or_precision_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
anch,ANCH,anch,Skim token balance,token_semantics_mismatch,medium,rule:token_semantics_mismatch,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
audius,Audius,audius,Storage Collision & Malicious Proposal,authorization_failure,low,multi_rule:authorization_failure+storage_or_upgrade_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
etnproduct,EtnProduct,etnproduct,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
ddc,DDC,ddc,Unchecked External Calls,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
luckytiger,LuckyTiger NFT,luckytiger,Predicting Random Numbers,randomness_failure,medium,rule:randomness_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
egd_finance,EGD Finance,egd_finance,Flashloans & Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
badguysbyrpf,Bad Guys by RPF,badguysbyrpf,Business Logic Flaw : Missing Check For Number of NFT to Mint,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
xst_2,XSTABLE Protocol,xst,Incorrect Logic Check,validation_failure,low,multi_rule:business_logic_failure+validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
nomadbridge,Nomad Bridge,nomadbridge,Business Logic Flaw : Incorrect acceptable merkle-root checks,validation_failure,low,multi_rule:business_logic_failure+validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
bxh,BXH,bxh,Flashloan & Price Oracle Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
dpc,DPC,dpc,Incorrect Reward calculation,arithmetic_or_precision_failure,medium,rule:arithmetic_or_precision_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
shadowfi,ShadowFi,shadowfi,Access Control,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
atk,ATK,atk,FlashLoan manipulate price,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
bego,BEGO,bego,Incorrect signature verification,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
babyswap,BabySwap,babyswap,Parameter Access Control,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
roi,Ragnarok Online Invasion,roi,Broken Access Control,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
thb,Thunder Brawl,thb,Reentrancy,reentrancy,medium,rule:reentrancy,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
carrot,Carrot,carrot,Public functionCall,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
eflevervault,EFLeverVault,eflevervault,Verify flashLoan Callback,economic_state_manipulation,low,fallback_flash_loan,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
health,HEALTH,health,Transfer Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
hpay,HPAY,hpay,Access Control,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
n00d,N00d Token,n00d,Reentrancy,reentrancy,medium,rule:reentrancy,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
inuko,INUKO,inuko,FlashLoan price manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
pltd,PLTD,pltd,Transfer Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
olympusdao,OlympusDAO,olympusdao,No input validation,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
res,RES-Token,res,pair manipulate,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
rl,RL Token,rl,Incorrect Reward calculation,arithmetic_or_precision_failure,medium,rule:arithmetic_or_precision_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
res_2,RES-Token,res,pair manipulate,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
uerii,Uerii Token,uerii,Access Control,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
templedao,Templedao,templedao,Insufficient access control,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
vtf,VTF Token,vtf,Incorrect Reward calculation,arithmetic_or_precision_failure,medium,rule:arithmetic_or_precision_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
ulme,ULME,ulme,Access Control,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
teamfinance,Team Finance,teamfinance,Liquidity Migration Exploit,economic_constraint_failure,medium,rule:economic_constraint_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
ulme_2,ULME,ulme,Access Control,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
aur,AUR,aur,Lack of Permission Check,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
annex,AnnexFinance,annex,Verify flashLoan Callback,economic_state_manipulation,low,fallback_flash_loan,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
xavefinance,Xave Finance,xavefinance,Malicious Proposal Mint & Transfer Ownership,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
bdex,BDEX,bdex,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
kashi,Kashi,kashi,Price-caching Design Defect,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
mbc_zzsh,MBC & ZZSH,mbc_zzsh,Business Logic Flaw & Access Control,authorization_failure,low,multi_rule:authorization_failure+business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
brahtopg,BrahTOPG,brahtopg,Arbitrary External Call Vulnerability,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
num,NUM,num,Protocol Token incompatible,token_semantics_mismatch,medium,rule:token_semantics_mismatch,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
sdao,sDAO,sdao,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
dfx,DFXFinance,dfx,Reentrancy,reentrancy,medium,rule:reentrancy,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
moocakectx,MooCAKECTX,moocakectx,FlashLoan Attack,economic_state_manipulation,low,fallback_flash_loan,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
sheepfarm2,SheepFarm,sheepfarm,No input validation,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
seaman,SEAMAN,seaman,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
aes,AES (Deflationary token),aes,Business Logic Flaw & FlashLoan price manipulation,oracle_or_market_manipulation,low,multi_rule:business_logic_failure+oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
sheepfarm,SheepFarm,sheepfarm,No input validation,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
uearnpool,UEarnPool,uearnpool,FlashLoan Attack,economic_state_manipulation,low,fallback_flash_loan,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
jay,JAY,jay,Insufficient validation + Reentrancy,validation_failure,low,multi_rule:reentrancy+validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
dfs,DFS,dfs,Insufficient validation + flashloan,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
bgld,BGLD (Deflationary token),bgld,FlashLoan price manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
rubic,Rubic,rubic,Arbitrary External Call Vulnerability,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
tifi,TIFIToken,tifi,FlashLoan price manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
qixi,Qixi,qixi,Underflow,arithmetic_or_precision_failure,medium,rule:arithmetic_or_precision_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
xcarnival,XCarnival,xcarnival,Infinite Number of Loans,economic_state_manipulation,low,fallback_flash_loan,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
novo,NOVO Protocol,novo,Flashloan & Price Oracle Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
xst,XSTABLE Protocol,xst,Incorrect Logic Check,validation_failure,low,multi_rule:business_logic_failure+validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
bbox,BBOX,bbox,FlashLoan price manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
nmbplatform,Nmbplatform,nmbplatform,FlashLoan price manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
rfb,RFB,rfb,Predicting Random Numbers,randomness_failure,medium,rule:randomness_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
shoco,SHOCO,shoco,Reflection token,token_semantics_mismatch,medium,rule:token_semantics_mismatch,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
qtn,QTNToken,qtn,business logic flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
tinu,TINU,tinu,Reflection token,token_semantics_mismatch,medium,rule:token_semantics_mismatch,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
bra,BRA,bra,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
bevo,BEVO,bevo,Reflection token,token_semantics_mismatch,medium,rule:token_semantics_mismatch,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
omniestate,OmniEstate,omniestate,No Input Parameter Check,unclassified_public_label,low,no_rule,heuristic_requires_two_reviewers,unclassified_requires_review
gds,GDS,gds,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
ufdao,UFDao,ufdao,Incorrect Parameter Setting,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
upswing,UPSToken,upswing,business logic flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
roefinance,RoeFinance,roefinance,FlashLoan price manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
efvault,EFVault,efvault,Storage Collision,storage_or_upgrade_failure,medium,rule:storage_or_upgrade_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
fdp,FDP,fdp,Reflection token,token_semantics_mismatch,medium,rule:token_semantics_mismatch,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
dexible,Dexible,dexible,Arbitrary External Call Vulnerability,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
dyna,DYNA,dyna,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
revertfinance,RevertFinance,revertfinance,Arbitrary External Call Vulnerability,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
starlink,Starlink,starlink,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
bigfi,BIGFI,bigfi,Reflection token,token_semantics_mismatch,medium,rule:token_semantics_mismatch,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
sheep,Sheep,sheep,Reflection token,token_semantics_mismatch,medium,rule:token_semantics_mismatch,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
orion,Orion Protocol,orion,Reentrancy,reentrancy,medium,rule:reentrancy,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
poolz,Poolz,poolz,integer overflow,arithmetic_or_precision_failure,medium,rule:arithmetic_or_precision_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
allbridge,Allbridge,allbridge,FlashLoan price manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
dbw,DBW,dbw,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
axioma,Axioma,axioma,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
olife,OLIFE,olife,Reflection token,token_semantics_mismatch,medium,rule:token_semantics_mismatch,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
sushi_router,SushiSwap,sushi_router,Unchecked User Input,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
safemoon,SafeMoon Hack,safemoon,Access Control,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
swapos,Swapos V2,swapos,error k value Attack,arithmetic_or_precision_failure,medium,rule:arithmetic_or_precision_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
yearnfinance,yearnFinance,yearnfinance,Misconfiguration,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
babydogecoin,BabyDogeCoin,babydogecoin,Lack Slippage Protection,economic_constraint_failure,medium,rule:economic_constraint_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
silo_finance,Silo finance,silo_finance,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
bitpaidio,Bitpaidio,bitpaidio,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
fapen,FAPEN,fapen,Wrong balance check,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
erc20tokenbank,ERC20TokenBank,erc20tokenbank,Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
cs,CS Token,cs,Outdated Global Variable,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
hodlcapital,HODL,hodlcapital,Reflection token,token_semantics_mismatch,medium,rule:token_semantics_mismatch,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
melo,Melo,melo,Access Control,authorization_failure,medium,rule:authorization_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
lw,LW,lw,FlashLoan Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
multichaincapital,MCC,multichaincapital,Reflection token,token_semantics_mismatch,medium,rule:token_semantics_mismatch,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
level,Level,level,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
sellc02,SellToken03,sellc,Unchecked User Input,validation_failure,medium,rule:validation_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
neverfall,NeverFall,neverfall,Price Manipulation,oracle_or_market_manipulation,medium,rule:oracle_or_market_manipulation,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
sellc,SellToken01,sellc,Business Logic Flaw,business_logic_failure,medium,rule:business_logic_failure,heuristic_requires_two_reviewers,single_source_candidate_requires_two_reviewers
