question_id,stage,category,killer_question,initial_status,fix_or_control,final_status,required_or_produced_evidence,blocking_owner
2A-KQ-14,2A,legal provenance,"Are license, terms-of-use, and redistribution permissions recorded per artifact?",MISSING,Create artifact-level rights ledger and legal review state.,PASS,Rights ledger records the redistributed SCONE-bench and DeFiHackLabs inputs as Apache-2.0 and keeps future service-response rights as explicit per-retrieval gates.,governance
2A-KQ-15,2A,immutability,Are evidence versions immutable and superseded rather than edited in place?,MUTATION_RISK,Use append-only SQLite records protected by update/delete triggers.,PASS,Delete/update attempts blocked; registry chain verified.,pipeline
2A-KQ-16,2A,independent reproduction,Can an independent reviewer reconstruct at least 10% of timelines?,NOT_TESTED,Prepare blinded re-retrieval package and discrepancy protocol.,BLOCKED,Independent timeline-reconstruction report.,external-review
2A-KQ-17,2A,missing evidence,Does any missing mandatory field result in exclusion rather than imputation?,SILENT_IMPUTATION_RISK,Encode mandatory fields and machine-readable reason codes.,PASS,417/417 cases fail closed; no case falsely certified.,pipeline
2A-KQ-18,2A,source identity,Can a source row be traced to its exact upstream dataset version?,PARTIAL,"Record upstream URL, retrieval date, and source SHA-256.",PASS,SCONE cohort plus six frozen DeFiHackLabs snapshots and 417 incident records are content-hashed and provenance-linked.,pipeline
2A-KQ-19,2A,sensitivity,Will conclusions be stable to alternate cutoff windows?,NOT_DEFINED,Prespecify primary cutoff and -1/-7/-30-day sensitivity windows where meaningful.,PASS_BY_DESIGN,Analysis plan; completed timelines required.,methodology
2A-KQ-20,2A,eligibility,Can a case with only a historical fork block be mislabeled as fully pre-incident admissible?,MISCLASSIFICATION_RISK,"Treat fork block as an anchor only, never as sufficient chronology.",PASS,Zero cases certified from benchmark metadata alone.,pipeline
2B-KQ-01,2B,canonical identity,Are chain identifiers normalized consistently?,INCONSISTENT,Apply frozen chain alias mapping.,PASS,417 rows normalized to canonical chain labels.,pipeline
2B-KQ-02,2B,canonical identity,Are EVM addresses validated and normalized without lossy guessing?,UNVALIDATED,Require 20-byte hexadecimal addresses and lowercase canonical form.,PASS,All 417 target addresses passed strict validation.,pipeline
2B-KQ-03,2B,duplicates,Are exact chain-address duplicate families detected?,UNKNOWN,Group by canonical chain-address identity.,PASS,408 unique identities; 9 duplicate groups containing 18 rows.,pipeline
2B-KQ-04,2B,historical code,"Is runtime bytecode captured at the cutoff, not at present day?",MISSING,Historical eth_getCode adapter with block-hash pinning.,BLOCKED,Archive RPC responses for 417 cases.,data-operations
2B-KQ-05,2B,code semantics,"Are empty-code, self-destructed, and redeployed addresses distinguished?",NOT_HANDLED,Track code presence over time and creation/destruction/redeployment events.,BLOCKED,Historical code timeline and creation traces.,data-operations
2B-KQ-06,2B,normalization,Is Solidity metadata stripped before semantic bytecode hashing?,NOT_IMPLEMENTED,Implement metadata trailer parsing and preserve raw plus normalized hashes.,BLOCKED,Historical bytecode corpus and parser validation fixtures.,pipeline
2B-KQ-07,2B,compiler provenance,"Are compiler version, optimizer settings, and linked libraries captured when available?",MISSING,Enrich from verified-source metadata and compiler artifacts.,BLOCKED,Explorer/Sourcify metadata snapshots.,data-operations
2B-KQ-08,2B,proxy lineage,Are EIP-1967 transparent/UUPS implementation slots resolved at cutoff?,MISSING,Historical eth_getStorageAt reads for implementation/admin slots.,BLOCKED,Slot values pinned to cutoff block.,data-operations
2B-KQ-09,2B,proxy lineage,Are beacon proxies resolved through the beacon implementation at cutoff?,MISSING,Resolve beacon slot then implementation() at historical state.,BLOCKED,Historical beacon and implementation evidence.,data-operations
2B-KQ-10,2B,proxy lineage,Are EIP-1167 minimal proxies and clones detected?,MISSING,Match minimal-proxy bytecode patterns and resolve target implementation.,BLOCKED,Runtime bytecode at cutoff.,pipeline
2B-KQ-11,2B,proxy lineage,Are diamond/facet relationships represented?,MISSING,Resolve loupe functions/events and build facet-set identities.,BLOCKED,"Historical calls, events, and facet code hashes.",data-operations
2B-KQ-12,2B,metamorphic contracts,"Are CREATE2, metamorphic, and address-reuse cases treated as time-indexed identities?",NOT_HANDLED,"Key code identity by chain, address, and validity interval.",BLOCKED,Creation traces and code-history observations.,data-operations
2B-KQ-13,2B,libraries,Are shared linked libraries represented as dependency edges?,MISSING,Parse link references and verified source dependencies.,BLOCKED,Compiler metadata and code hashes.,data-operations
2B-KQ-14,2B,implementation history,Are proxy upgrades between deployment and cutoff reconstructed?,MISSING,Replay upgrade events and confirm storage at cutoff.,BLOCKED,Event logs plus historical storage consensus.,data-operations
2B-KQ-15,2B,source clones,Are exact normalized-source clones grouped?,MISSING_CORPUS,Canonicalize source bundles and hash normalized AST/text representations.,BLOCKED,Verified source snapshots.,pipeline
2B-KQ-16,2B,near clones,Is the near-clone metric validated for Solidity and frozen before outcome inspection?,UNFROZEN,"Preregister metric, threshold, and 0.85/0.90/0.95 sensitivity analysis.",BLOCKED,Source/bytecode corpus and manual validation sample.,methodology
2B-KQ-17,2B,provider consensus,Do independent providers agree on cutoff bytecode and storage?,NOT_TESTED,Require two observations or explicit disagreement adjudication.,BLOCKED,Provider comparison report.,data-operations
2B-KQ-18,2B,fail closed,Can unresolved proxy or code identity be guessed into a family?,GUESSING_RISK,Represent unresolved lineage explicitly and block release eligibility.,PASS,All unresolved code/proxy fields remain unresolved; release stays empty.,pipeline
2B-KQ-19,2B,partition integrity,Does exact-identity grouping eliminate cross-fold leakage?,LEAKING_BASELINE,Use deterministic group-aware fold assignment.,PASS,Zero exact-identity crossings; balanced folds 84/84/83/83/83.,pipeline
2B-KQ-20,2B,sensitivity,Will code-family conclusions be rerun across normalization and clone thresholds?,NOT_DEFINED,Freeze primary and sensitivity configurations before Stage-2 release.,PASS_BY_DESIGN,Policy YAML; code evidence pending.,methodology
2C-KQ-01,2C,protocol family,Are protocol-family labels supported by official deployment/governance evidence rather than names alone?,NAME_HEURISTIC_ONLY,"Dual-review codebook using deployer, governance, repository, and upgrade evidence.",BLOCKED,Signed reviewer decisions and source citations.,external-review
2C-KQ-02,2C,organization,"Are organization and protocol identities separated where brands, forks, or operators differ?",AMBIGUOUS,"Define distinct organization, codebase, and protocol-lineage entities.",PASS_BY_DESIGN,Versioned entity ontology; real adjudication pending.,methodology
2C-KQ-03,2C,authority,"Are common deployers, upgrade admins, multisigs, and governance controllers captured?",MISSING,Build authority graph from deployment and governance evidence.,BLOCKED,On-chain authority records and reviewer validation.,data-operations
2C-KQ-04,2C,mechanism taxonomy,Are mechanism labels cause-level rather than broad categories such as 'flash loan'?,TECHNIQUE_LABELS,Map public labels to a draft cause taxonomy and require root-cause review.,PARTIAL,417 preliminary mechanism candidates; 385 map to the frozen candidate taxonomy; independent root-cause review pending.,external-review
2C-KQ-05,2C,cause vs technique,Are enabling techniques distinguished from the underlying vulnerability?,CONFLATED,"Store primary root cause, exploit technique, and contributing conditions separately.",PASS_BY_DESIGN,Codebook fields defined; reviewer decisions pending.,methodology
2C-KQ-06,2C,multi-mechanism,Can an incident have one primary cause and multiple contributing mechanisms?,SINGLE_LABEL_RISK,Use one primary cause plus ordered secondary contributors.,PASS_BY_DESIGN,Adjudication schema.,pipeline
2C-KQ-07,2C,attacker family,Are attacker-family links evaluator-only and prevented from entering detector inputs?,LEAKAGE_RISK,Restrict attacker links to evaluator metadata tables.,PASS_BY_DESIGN,Information-plane policy.,pipeline
2C-KQ-08,2C,reviewer independence,Are two reviewers independent and blind to detector outputs?,NO_REVIEWERS,Assign independent reviewers and hide model predictions during labeling.,BLOCKED,"Reviewer roster, conflicts, and blind-review logs.",governance
2C-KQ-09,2C,conflicts,Are reviewer conflicts of interest declared and managed?,NOT_DEFINED,Add conflict declaration and reassignment rule.,PASS_BY_DESIGN,Governance form; reviewers pending.,governance
2C-KQ-10,2C,codebook version,Is the taxonomy/codebook version frozen before confirmatory analysis?,UNVERSIONED,Version and hash the protocol/mechanism codebook.,PASS_BY_DESIGN,Codebook version policy; final codebook pending.,methodology
2C-KQ-11,2C,reviewer training,Are reviewers calibrated on common examples before formal labeling?,NOT_PLANNED,"Run training set, discussion, then freeze instructions before blinded work.",PASS_BY_DESIGN,Training protocol; execution pending.,external-review
2C-KQ-12,2C,agreement,Does protocol-family agreement meet kappa >= 0.80?,NOT_MEASURED,Calculate agreement before adjudication.,BLOCKED,Two independent protocol label sets.,external-review
2C-KQ-13,2C,agreement,Does mechanism-family agreement meet kappa/alpha >= 0.80?,NOT_MEASURED,Calculate Cohen kappa or Krippendorff alpha as appropriate.,BLOCKED,Two independent mechanism label sets.,external-review
2C-KQ-14,2C,adjudication,Are disagreements resolved by a third reviewer without overwriting original labels?,MUTATION_RISK,Append all decisions and adjudication outcome to immutable registry.,PASS_BY_DESIGN,Append-only schema and triggers; adjudications pending.,pipeline
2C-KQ-15,2C,blinded rereview,Is at least 10% of resolved cases blindly re-reviewed?,NOT_EXECUTED,Sample after adjudication using frozen seed.,BLOCKED,Blinded re-review report.,external-review
2C-KQ-16,2C,confidence,Are low-confidence labels excluded from strict family splits?,LOW_CONFIDENCE_RISK,Require adjudicated confidence threshold for release eligibility.,PASS,Current heuristic candidates cannot enter release cohort.,pipeline
2C-KQ-17,2C,evidence citations,Does every family assignment cite evidence rather than a reviewer assertion alone?,NOT_ENFORCED,Require evidence URI/hash fields in review form.,PASS_BY_DESIGN,Adjudication queue schema; evidence pending.,pipeline
2C-KQ-18,2C,taxonomy drift,Can later taxonomy changes silently alter previous split assignments?,DRIFT_RISK,Version taxonomies and rebuild cohorts under explicit versions.,PASS_BY_DESIGN,Versioning policy.,pipeline
2C-KQ-19,2C,public labels,Can public incident 'type' labels be mistaken for verified root causes?,MISUSE_RISK,Mark them preliminary and source-specific.,PASS,All 417 seeded labels carry single-source/review-required status.,pipeline
2C-KQ-20,2C,release gate,Can a case enter R5 without completed protocol and mechanism adjudication?,LEAKAGE_RISK,Make both adjudications mandatory release gates.,PASS,Zero release-eligible cases while adjudication is absent.,pipeline
2D-KQ-01,2D,controls,Does the cohort contain contemporaneous control contracts?,POSITIVE_ONLY,Collect matched deployment-time controls from the same chains and periods.,BLOCKED,"At least 4,170 matched controls under current 10:1 plan.",data-operations
2D-KQ-02,2D,denominator,Is there a prevalence-preserving deployment-stream denominator?,NO_DENOMINATOR,"Collect at least 20,000 qualifying deployments.",BLOCKED,Versioned deployment stream and inclusion log.,data-operations
2D-KQ-03,2D,temporal matching,Are controls deployed before or at the positive case cutoff?,NOT_APPLICABLE_YET,Match using only deployment-time covariates and cutoff-consistent snapshots.,PASS_BY_DESIGN,Matching specification; controls pending.,methodology
2D-KQ-04,2D,matching,Are matching variables selected without outcome knowledge?,BIAS_RISK,"Freeze chain, period, code size, proxy status, source verification, activity, and application category.",PASS_BY_DESIGN,Control collection manifest.,methodology
2D-KQ-05,2D,negative labels,Are unexploited contracts automatically labeled safe?,FALSE_NEGATIVE_RISK,Preserve unresolved/right-censored states and prohibit universal-safe labels.,PASS,Outcome schema and empty control table prevent false negatives.,pipeline
2D-KQ-06,2D,property bounds,Are negative claims limited to explicitly tested properties?,NO_PROPERTY_EVIDENCE,"Require property identifier, tool/version, scope, and successful test evidence.",BLOCKED,Property-bounded negative records.,data-operations
2D-KQ-07,2D,outcome states,"Are confirmed positive, property-bounded negative, unresolved, censored, and excluded states distinct?",CONFLATED,Use a five-state censor-aware outcome model.,PASS_BY_DESIGN,Outcome schema; real controls pending.,pipeline
2D-KQ-08,2D,follow-up,Is the follow-up horizon frozen before outcome inspection?,UNFROZEN,Preregister primary horizon and sensitivity horizons.,BLOCKED,Dated preregistration before collection.,methodology
2D-KQ-09,2D,observability,Are outcome-observation sources and last-seen times recorded?,MISSING,Add longitudinal observation service and evidence log.,BLOCKED,Observation timestamps and source hashes.,data-operations
2D-KQ-10,2D,censoring,Is the censoring indicator derived reproducibly?,NOT_DEFINED,Define C_i(H) from frozen follow-up and observability rules.,PASS_BY_DESIGN,Analysis specification; observations pending.,methodology
2D-KQ-11,2D,positivity,Are IPCW positivity diagnostics prespecified?,NOT_DEFINED,"Report propensity range, extreme weights, and overlap diagnostics.",PASS_BY_DESIGN,Statistical analysis plan.,methodology
2D-KQ-12,2D,weights,Are stabilized censoring weights fully specified?,UNDER_SPECIFIED,Freeze numerator/denominator models and covariates.,PASS_BY_DESIGN,Statistical analysis plan.,methodology
2D-KQ-13,2D,truncation,Are weight-truncation thresholds prespecified and sensitivity-tested?,UNFROZEN,Use frozen primary quantiles plus sensitivity alternatives.,PASS_BY_DESIGN,Analysis protocol.,methodology
2D-KQ-14,2D,effective sample size,Will weighted effective sample size be reported?,NOT_PLANNED,Calculate ESS=(sum w)^2/sum(w^2) globally and by chain.,PASS_BY_DESIGN,Analysis protocol.,methodology
2D-KQ-15,2D,negative verification,Are property-bounded negatives independently checked?,NOT_AVAILABLE,Dual-review negative evidence and replay artifacts.,BLOCKED,Independent replay/adjudication records.,external-review
2D-KQ-16,2D,control contamination,"Are controls included in the same identity, clone, proxy, protocol, and mechanism graph?",LEAKAGE_RISK,Apply one unified contamination graph to positives and controls.,PASS_BY_DESIGN,Graph policy; controls pending.,pipeline
2D-KQ-17,2D,sampling reproducibility,Can the exact control sample be regenerated?,NOT_AVAILABLE,"Use immutable candidate stream, deterministic seed, and match-set manifest.",PASS_BY_DESIGN,Control collection manifest.,pipeline
2D-KQ-18,2D,chain representation,Are chain-specific inclusion rates and attrition reported?,NOT_AVAILABLE,Report numerator/denominator and exclusions per chain.,PASS_BY_DESIGN,Reporting template; stream pending.,methodology
2D-KQ-19,2D,prevalence,Can precision and workload be estimated at realistic prevalence?,NO_DENOMINATOR,Use the deployment stream rather than balanced-only evaluation.,BLOCKED,"At least 20,000 deployment records with outcomes/follow-up.",data-operations
2D-KQ-20,2D,outcome review,Are positive and control outcomes independently adjudicated?,SINGLE_SOURCE,Require dual review plus third-reviewer resolution.,BLOCKED,Outcome adjudication records and agreement statistics.,external-review
2E-KQ-01,2E,exact identity,Is exact chain-address identity leakage zero?,LEAKING_RANDOM_SPLITS,Assign all members of an exact identity to one fold.,PASS,Zero crossings in grouped folds.,pipeline
2E-KQ-02,2E,source clone,Is exact/near source-clone leakage zero?,UNKNOWN,Build source clone components and group partitions.,BLOCKED,Verified source corpus and clone audit.,data-operations
2E-KQ-03,2E,bytecode clone,Is raw and normalized bytecode-family leakage zero?,UNKNOWN,Group raw and metadata-stripped code components.,BLOCKED,Historical bytecode corpus.,data-operations
2E-KQ-04,2E,proxy family,Is proxy/implementation-family leakage zero?,UNKNOWN,Group all proxies and implementations in connected components.,BLOCKED,Historical proxy graph.,data-operations
2E-KQ-05,2E,library dependency,Do shared library dependencies remain inside one partition when required?,UNKNOWN,Include linked-library edges under frozen dependency policy.,BLOCKED,Compiler/source dependency evidence.,data-operations
2E-KQ-06,2E,protocol family,Is adjudicated protocol-family leakage zero?,UNKNOWN,Group protocol components after dual review.,BLOCKED,Adjudicated protocol labels.,external-review
2E-KQ-07,2E,mechanism family,Is cause-level exploit-mechanism leakage zero for R5?,UNKNOWN,Group mechanism families after dual review.,BLOCKED,Adjudicated mechanism labels.,external-review
2E-KQ-08,2E,attacker family,Is attacker-family dependence audited without leaking into detector inputs?,UNKNOWN,Build evaluator-only attacker components and compare operational vs oracle partitions.,BLOCKED,Post-outcome attribution with evidence and access controls.,external-review
2E-KQ-09,2E,component logic,Are transitive dependencies closed through connected components rather than pairwise checks only?,PAIRWISE_RISK,Use typed graph connected components for prohibited edges.,PASS_BY_DESIGN,Graph algorithm specification; full edges pending.,pipeline
2E-KQ-10,2E,effective sample,Are at least 120 independent R5 blocks retained?,UNKNOWN,Count final connected components after all evidence is complete.,BLOCKED,Final R5 cohort with >=120 blocks.,data-operations
2E-KQ-11,2E,class support,Are there at least 40 positive and 40 control independent blocks?,UNKNOWN,Enforce minimum block counts or redesign claims.,BLOCKED,Final positive/control R5 counts.,data-operations
2E-KQ-12,2E,attrition,Are all exclusions and losses at each rung reported?,HIDDEN_ATTRITION_RISK,Emit reason codes and rung-by-rung cohort counts.,PASS,417 cases have machine-readable reasons; no silent release.,pipeline
2E-KQ-13,2E,matched size,Are stricter-rung comparisons repeated on matched sample sizes?,CONFOUNDING_RISK,Prespecify matched-size resampling and report both full/matched analyses.,PASS_BY_DESIGN,Analysis protocol; final graph pending.,methodology
2E-KQ-14,2E,determinism,Are split assignments deterministic and seed/version controlled?,NONREPRODUCIBLE_RISK,Use deterministic group balancing and frozen seeds.,PASS,Rebuild yields the same exact-identity folds.,pipeline
2E-KQ-15,2E,validation isolation,Are calibration and hyperparameter-tuning cases independent of the final test components?,NOT_DEFINED,Create group-aware train/calibration/test partitions.,PASS_BY_DESIGN,Partition policy; complete graph pending.,methodology
2E-KQ-16,2E,retrieval contamination,Are detector retrieval stores and demonstrations screened against test components and cutoff?,LEAKAGE_RISK,Hash/index retrieval corpora and exclude related/post-cutoff records.,PASS_BY_DESIGN,Information-plane policy; detector stage pending.,pipeline
2E-KQ-17,2E,independent regeneration,Can an independent party regenerate the release from manifests?,NOT_EXTERNALLY_TESTED,"Release deterministic code, manifests, hashes, and a reconstruction checklist.",PARTIAL,Internal verification passes; external replication pending.,external-review
2E-KQ-18,2E,versioning,Can later evidence updates silently change an existing cohort version?,DRIFT_RISK,Issue immutable semantic versions and rebuild as a new release.,PASS_BY_DESIGN,Append-only registry and version policy.,pipeline
2E-KQ-19,2E,release gate,Does any failed mandatory Stage 2A-2D gate prevent release?,FALSE_RELEASE_RISK,Use a conjunctive fail-closed release predicate.,PASS,Release cohort has zero rows while mandatory evidence is incomplete.,pipeline
2E-KQ-20,2E,claim discipline,Can an empty or incomplete cohort be presented as a completed pre-incident benchmark?,OVERCLAIM_RISK,Publish explicit decision and blocker report; prohibit effectiveness claims.,PASS,Decision is FAIL_CLOSED_NO_STAGE2_RELEASE.,governance
