risk_id,criticality,category,scope,likelihood,impact,status,evidence_grade,direct_evidence_or_gap,owner,dependency,deadline_or_milestone,consequence,mitigation,verification_action,progression_or_stop_trigger,residual_risk
R011,CRITICAL,baseline_reproducibility,benchmark_core,Medium,High,AT RISK,E3,"MANDO-LLM remains metadata-only because a retrievable license and frozen artifact path were not verified. After static preflight, a pinned Slither 0.11.6 environment reproduced 5/5 planned substitute-baseline stages, including byte-identical SimpleDAO JSON reruns. This verifies plumbing for a narrow structural comparator only, not equivalence to MANDO-LLM or exploit-detection adequacy.","baseline_reproduction_owner","Definitive baseline portfolio and adapter contract","Before benchmark execution freeze","A substitute-only comparator set may be too weak or incomparable for the planned performance-survival ladder.","Freeze a lawfully usable baseline portfolio with explicit capability scopes; include MANDO-family methods only if artifacts and terms become verifiable.","Independent reproduction check in a clean environment with frozen adapters, explicit asset provenance, and a rights check for every chosen baseline.","Redesign or drop comparator claims if no sufficiently strong baseline portfolio can be reproduced fairly and lawfully.","Even reproduced public baselines may rely on inaccessible training details or fail to measure the intended capability."
R012,CRITICAL,compute_and_archival_cost,both,Medium,High,AT RISK,E3,"Cycle 1 confirmed adequate local storage and a reproducible isolated Slither substitute. Cycle 2 documents current Sourcify, Etherscan, BigQuery, Alchemy, Infura, QuickNode, and Chainstack access and pricing paths in `support/archive-access-cost-envelope-20260801.csv`. Free or low-cost bounded routes exist, but no account, query, API, or RPC path was exercised, so runtime, coverage, and actual terms remain unverified.","program_owner_and_funder","Resource plan, provider authorization, and measured archive access","Before design approval for any corpus at scale","Unexercised archival access can force late scope cuts that invalidate the planned benchmark.","Authorize and measure one minimal archive or equivalent public-data test, record actual units/runtime/results, and preserve the public-data-only fallback.","Independent budget review tied to the critical path and fallback scope, with measured reconstruction runs.","Stop scale-up if any critical access path requires unknown, unacceptable, or unbudgeted cost or terms.","Cloud, storage, GPU, and node-provider costs can move and may differ materially from the documented snapshot."
R013,CRITICAL,skills_and_staffing,both,High,High,AT RISK,E1,"The charter requires a smart-contract security researcher, benchmark/data-governance lead, censoring/selective-prediction statistician, responsible-disclosure partner, independent adjudicators, and legal or institutional review where triggered; these roles are not evidenced as committed.","program_owner","Named role commitments and backups","Before design freeze and before any prospective extension","Missing specialist capacity can turn key judgments into unreviewed assumptions and stall execution.","Secure named role ownership, backups, and escalation paths for each required specialty.","Check written commitments and backup coverage against the critical path.","Stop progression if any single-point specialty remains unowned at phase freeze.","Specialist availability can still degrade under competing obligations or departure."
R014,FATAL,independent_adjudication,prospective,High,Severe,BLOCKED,E0,"The intake and charter require independent adjudication for the prospective shadow study, but no adjudication body, protocol, or conflict policy exists in the allowed artifacts.","prospective_governance_owner","Independent adjudicators, SOP, and conflict rules","Before any prospective cohort authorization","Without independent adjudication, prospective hits and misses are not credible and safety decisions are conflicted.","Define adjudicator independence, evidence standards, disagreement handling, and audit logging before prospective launch.","Written adjudication charter plus conflict-of-interest review.","Stop any prospective extension until adjudication is frozen and staffed.","Adjudication latency may still limit timely outcome resolution."
R015,FATAL,responsible_disclosure_partner,prospective,High,Severe,BLOCKED,E0,"The intake says the prospective shadow study requires a responsible-disclosure partner, and the charter forbids nonpublic exploit workflows without separate authorization; no partner is evidenced.","responsible_disclosure_owner","Partner agreement, safe intake path, and disclosure SLA","Before any prospective cohort authorization","A prospective finding without a safe disclosure path creates avoidable harm and likely blocks lawful or ethical execution.","Secure a written responsible-disclosure partner and define handling for actionable findings before any prospective work.","Review executed agreement, escalation path, and disclosure decision tree.","Stop the prospective phase until a disclosure partner and workflow are in place.","Partner capacity, jurisdiction, or conflict constraints may still limit usable follow-up."
R016,FATAL,prospective_incident_yield_and_follow_up,prospective,High,Severe,BLOCKED,E1,"The intake marks incident rate and follow-up duration as critical dependencies for the shadow deployment, but no event-yield model, cohort-size rationale, or adjudication latency model exists.","prospective_methods_lead","Prospective cohort design, event-rate model, and follow-up window","Before prospective authorization","Too few adjudicable events can make the sealed cohort uninterpretable even if the system is frozen correctly.","Model expected event yield, censoring, and minimum informative follow-up before prospective launch.","Independent scenario analysis using conservative yield assumptions and adverse-case timelines.","Stop the prospective extension if the event-yield model cannot support a decision-relevant bound.","True incident rates and disclosure response times can still be lower than modeled."
R017,FATAL,preregistration_and_freeze_integrity,prospective,High,Severe,BLOCKED,E0,"The charter states that current work is design-stage only and that a pilot or prospective step requires a frozen plan plus explicit progression criteria; no preregistered cohort, frozen retrieval surface, threshold policy, or abstention-preservation contract exists.","prospective_governance_owner","Protocol freeze, retrieval freeze, threshold freeze, and amendment log","Before any prospective or pilot execution","If any part of the scaffold moves after seeing outcomes, prospective capability claims lose interpretability.","Preregister the cohort, model, retrieval inputs, thresholds, abstentions, amendment policy, and stop rules before execution.","Independent freeze audit with immutable artifact hashes before launch.","Stop prospective execution if any freeze element is undefined or mutable post-launch.","Operational drift and emergency fixes may still force protocol amendments that narrow interpretation."
R018,FATAL,ethics_legal_privacy_and_institutional_authority,prospective,High,Severe,BLOCKED,E1,"The charter says public-document novelty work is not human-subjects research on present facts, but any analyst study, partner data, private disclosure workflow, or prospective intervention requires institutional determination and possibly legal review; none is evidenced.","institutional_and_legal_authority","Formal determination of applicable ethics, legal, privacy, and security review","Before any analyst study, partner-data use, or prospective execution","Proceeding without the right authority can invalidate the project and create legal or ethical exposure.","Scope public-only work tightly until formal determinations are obtained for any expanded activity.","Record written determinations and approvals from the competent authority for each expanded activity.","Stop any prospective or partner-linked phase until authority determinations are documented.","Jurisdictional variation and cross-border data or sanctions issues may still arise later."
R019,CRITICAL,governance_and_change_control,both,Low,High,VERIFIED,E3,"Accessed 2026-08-01. Governance for the bounded pilot is now directly frozen in the canonical feasibility artifacts: the 2026-08-01 public-data feasibility-pilot authority entry in `00-governance/decision-log.md` defines scope, source-rights and resource rules, exclusions, rollback conditions, and consequence; `02-feasibility/pilot-plan.md` repeats the bounded authorization and stop conditions; `02-feasibility/progression-criteria.csv` freezes pilot scope and re-gating triggers. This resolves the immediate pilot-governance gap, though it does not solve later-phase authority concentration.","root_integration_owner","Phase-change control, invalidation rules, and ownership map","Before study-design approval","If these controls are bypassed, scope or protocol drift can contaminate feasibility evidence and later confirmatory work.","Keep material-change triggers, ownership, and invalidation paths hash-bound and carry them forward into any later study-design package.","Independent audit that phase-critical artifacts remain hash-bound and amendment-controlled.","Reopen FEASIBILITY_GATE if pilot scope, admissibility rules, source list, cohort definition, or claim ladder changes materially.","Human authority concentration remains a single point of failure for high-stakes later decisions."
R020,CRITICAL,reproducibility_and_independent_replication,both,Medium,High,AT RISK,E3,"Pilot cycle 1 captures source revisions, environment versions, output hashes, a deterministic clone rerun, byte-identical SimpleDAO rerun, and an independent eight-case assignment rerun. A full independent clean-environment rebuild, container, dataset card, exclusion report, model card, and replication protocol remain absent.","reproducibility_owner","Definitive environment and artifact plan plus independent reproducer","Before benchmark execution freeze","Pilot reproducibility does not yet guarantee regeneration of a full benchmark or model-comparison study.","Specify full environment capture, artifact boundaries, and independent replication as first-class design deliverables.","Independent clean-environment rerun of the representative slice plus artifact audit before full execution.","Stop publication-grade claims if central results cannot be regenerated from authoritative inputs.","External dependencies may remain nondeterministic, rate-limited, or unavailable."
R021,CRITICAL,venue_and_reporting_requirements,both,Medium,Medium,AT RISK,E0,"The program charter lists target venue or article type as UNDECIDED, and no current reporting, artifact, or disclosure checklist is bound to the benchmark-first path.","manuscript_and_reporting_owner","Venue selection and reporting-guideline mapping","Before manuscript architecture or artifact packaging","Late venue mismatch can force redesign of artifacts, claims, or disclosure language.","Choose the benchmark-method venue family early and map reporting, artifact, and AI-use requirements before manuscript planning.","Primary-source venue rule check plus checklist stub tied to the intended article type.","Narrow claims and artifacts if no venue supports the chosen evidence package.","Venue rules can still change before submission."
R022,CRITICAL,schedule_and_funding,both,High,High,AT RISK,E1,"The intake names follow-up duration, compute, archival access, specialist expertise, and adjudication as open constraints, but no funded critical path or stop-loss boundary exists in the allowed artifacts.","program_owner_and_funder","Milestone plan, stop-loss rule, and funding commitment","Before design approval for full-scope execution","Unfunded delay can strand the project between retrospective and prospective phases and waste partial work.","Set a benchmark-core-first schedule with explicit stop-loss conditions for the prospective extension.","Independent review of milestone realism under an adverse staffing and access case.","Stop the prospective extension if funding or time only covers retrospective benchmark work.","External delays can still consume the follow-up window even with a nominal plan."
R023,CRITICAL,partner_and_provider_dependency,prospective,High,High,AT RISK,E1,"The prospective path depends on archival access, disclosure partners, independent adjudicators, and possibly external evaluators, but the allowed artifacts contain no backup plan for any of these dependencies.","program_owner","Partner map, backup providers, and failure recovery paths","Before prospective authorization","Single-partner failure can collapse the sealed cohort after setup costs are sunk.","Define backup providers or a benchmark-core fallback before any prospective commitment.","Check each external dependency for a named backup or explicit fallback to retrospective-only scope.","Fall back to benchmark-core publication if any critical partner path remains singleton.","Some partner capabilities may have no true backup in the needed jurisdiction or specialty."
